# Histogrammed data for fix 14
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
243 13.125 33462.3 3.37765e-05
244 13.175 71283 7.19522e-05
245 13.225 0 0
246 13.275 0 0
247 13.325 0 0
248 13.375 41870.9 4.22641e-05
249 13.425 42617.5 4.30176e-05
250 13.475 16595.1 1.67509e-05
251 13.525 0 0
252 13.575 28029 2.82922e-05
253 13.625 61920.8 6.25022e-05
254 13.675 35756.4 3.60921e-05
255 13.725 0 0
256 13.775 18677.3 1.88527e-05
257 13.825 39360.5 3.97301e-05
258 13.875 0 0
259 13.925 50301.3 5.07736e-05
260 13.975 21232.8 2.14322e-05
261 14.025 0 0
262 14.075 65505.1 6.61201e-05
263 14.125 57848.4 5.83915e-05
264 14.175 0 0
265 14.225 4933.36 4.97967e-06
266 14.275 50531.8 5.10062e-05
267 14.325 0 0
268 14.375 28199.8 2.84646e-05
269 14.425 57805.2 5.83479e-05
270 14.475 18872.1 1.90493e-05
271 14.525 15344.7 1.54888e-05
272 14.575 67286.5 6.79182e-05
273 14.625 0 0
274 14.675 22079.8 2.22871e-05
275 14.725 39357.7 3.97272e-05
276 14.775 46188.8 4.66225e-05
277 14.825 20555.1 2.07481e-05
278 14.875 15761.1 1.5909e-05
279 14.925 42176.5 4.25725e-05
280 14.975 0 0
281 15.025 18525.3 1.86992e-05
282 15.075 0 0
283 15.125 9557.35 9.64708e-06
284 15.175 46108.2 4.65411e-05
285 15.225 87038.5 8.78557e-05
286 15.275 26593.5 2.68432e-05
287 15.325 15423.6 1.55684e-05
288 15.375 82814.3 8.35918e-05
289 15.425 53209.6 5.37092e-05
290 15.475 0 0
291 15.525 35683.2 3.60182e-05
292 15.575 65192.8 6.58049e-05
293 15.625 42358.3 4.2756e-05
294 15.675 44986.6 4.5409e-05
295 15.725 0 0
296 15.775 34425.2 3.47484e-05
297 15.825 37008.4 3.73559e-05
298 15.875 0 0
299 15.925 13071.4 1.31941e-05
300 15.975 78640.9 7.93792e-05
301 16.025 44651.1 4.50703e-05
302 16.075 11999.9 1.21126e-05
303 16.125 46775.5 4.72147e-05
304 16.175 46343.4 4.67785e-05
305 16.225 55954 5.64793e-05
306 16.275 0 0
307 16.325 16542.3 1.66976e-05
308 16.375 27985.6 2.82483e-05
