Filename
/home/tj/Documents/ActiveCode/PercentCrystal/Test-WAXD.xlsx
Type
WAXD
Node,Crystal,Shift,Height,Q,Skew
True,False,25.10204,0.3263598326359832,7.44944,0.0
True,False,17.2449,0.15899581589958156,1.74216,0.0
True,False,29.69388,0.06485355648535562,2.78827,5.0
True,False,39.43878,0.03765690376569042,2.69596,0.0
True,False,45.15306,0.029288702928870314,6.84949,0.0
True,True,17.04082,0.5669456066945606,0.94225,0.0
False,False,45.0,0.5,5.0,0.0
False,False,50.0,0.5,5.0,0.0
